geneSymbol	female_invitro1	female_invitro2	female_invitro3	female_invitro4	female_invivo1	female_invivo2	female_invivo3	female_invivo4	asexual_invitro1	asexual_invitro2	asexual_invitro3	asexual_invitro4
cgd5_3830	5.284929440389094	4.906708162833758	5.106490130383471	0.871933722172587	4.14932399092415	4.060910516827667	3.9959521072632462	0.8719337221725845	3.82351120142813	5.81605836388909	5.3473801347439736	5.335349758149334
cgd5_3850	4.916722350853014	6.062770964024989	6.53888886310572	5.362132156526592	3.7474885557266777	3.962081681532231	4.216812117725479	4.655938021397483	5.6367868804233545	5.776318794296829	6.387299873681519	5.923576896982668
cgd5_3870	5.538368723164239	3.9786464044963186	3.8005716584760765	0.871933722172587	3.769823413896315	4.513178123869529	4.663803363343579	0.8719337221725845	0.8719337221725845	0.8719337221725845	2.6099543621288306	2.863622624579453
cgd5_3890	5.386313165462119	6.580419500541369	6.441482496267847	0.871933722172587	3.689183522042637	4.558688872300318	4.929974382957725	3.4757477942040147	4.010783830422248	4.516774800392371	4.45034043792553	3.5115024408956903
cgd5_390	5.867306874119153	4.863285988044675	6.405261838455351	4.804058041930985	6.199606588341238	6.071962539184959	6.02740217434485	5.8121800245401065	7.150814135973622	8.603400012009718	7.617476774124503	7.0495603453020665
cgd5_3900	4.312569765764933	4.481749463885736	5.227523478595105	0.871933722172587	3.472801789678343	4.082941407974528	4.883911744055728	0.8719337221725845	0.8719337221725845	0.8719337221725845	0.8719337221725845	0.8719337221725845
cgd5_3910	4.419956873566934	4.349019729326352	4.787103925158668	0.871933722172587	3.3525757459565955	4.274400705715485	4.4693503032304704	0.8719337221725845	0.8719337221725845	0.8719337221725845	0.8719337221725845	0.8719337221725845
cgd5_3920	6.4113961393500825	6.7386523744776765	6.6117832042919895	7.22757698498469	8.502481820307542	8.249744013092316	8.258074612674255	7.752995232410664	9.0202740298322	8.59508380582707	8.27732813109613	8.510544678028207
cgd5_3930	4.6560072334929155	4.649181520171266	5.799963906245633	0.871933722172587	4.7205749884175585	5.143093585858234	5.572774434559138	5.215296688188311	0.8719337221725845	0.8719337221725845	0.8719337221725845	0.8719337221725845
cgd5_3940	7.029079052283941	6.151463320825514	5.295019680374646	5.777568363127061	5.512751679538398	6.020798687844761	6.148423438578666	3.6258853570470904	2.5537425988055307	3.7806751841894406	4.9144048207005335	4.024265099992991
cgd5_3950	6.496076379331974	6.75447495440345	5.743867489893784	6.449132696160887	8.869487483506783	8.220302572367187	7.963774096978609	8.922715875042353	8.054662154734451	6.207553916546829	7.253929656875568	7.464026330715196
cgd5_3960	4.299266432452905	6.107499602285651	6.137959393501797	0.871933722172587	5.719584130789557	5.442640572888256	5.768963552514443	6.777906484588818	6.1487821200368415	6.380829212115702	6.62536135105783	6.819896015481468
cgd5_3970	4.151136593398723	3.8594544346632342	3.5390578754658746	4.171297230446002	5.839373292567429	5.897644441752751	5.884635732197744	0.8719337221725845	3.206714487197453	4.563813768003561	4.321150758063007	3.912218662106574
cgd5_3980	4.711990594888034	5.370041352700982	5.44118105999281	4.874931214697967	5.539073677272601	4.871520560539742	5.216349219358992	4.721450435153387	0.8719337221725845	4.348662493150145	2.6413919511892634	2.21411436137203
