geneSymbol	crypto_sporo_rep1	crypto_sporo_rep2	crypto_sporo_rep3	crypto_24hr_rep1	crypto_24hr_rep2	crypto_24hr_rep3	crypto_48hr_rep1	crypto_48hr_rep2	crypto_48hr_rep3	sexual.24hr.vs.asexual.48hr_logFC	sexual.24hr.vs.asexual.48hr_FDR	sporozoite.vs.asexual.48hr_logFC	sporozoite.vs.asexual.48hr_FDR
cgd2_1170	10.221606155378224	10.068932872604181	10.114345053951766	6.134093352813217	6.216877033142205	6.021260461621584	6.545775683817842	6.51141970720732	6.870284871007433	0.4762659733517447	0.01730430945601184	-3.9999995679454345	5.688075051428298e-12
cgd2_1190	7.642339260758481	7.187890289712464	7.804202209185454	4.256394829313743	4.7289839348675455	4.415905279296144	4.8875011408186655	4.762418053883819	4.8950873949035145	0.33687864535299017	0.5718552901975689	-3.052866880764636	1.5043479349261964e-6
cgd2_120	-4.839971981495423	-4.577729170010639	-5.166889739657474	8.025847621141786	7.151175453036307	7.957464352039283	7.238947292628124	7.269610819297646	7.475920453544892	-0.3497877778202856	0.24215411803961112	12.519427415309973	6.310133308629961e-5
cgd2_1200	3.988782722912373	3.5809851361363845	4.376982684147243	6.3862193996167385	6.549081796206836	6.381057954880849	6.037481629291613	5.942552822419861	6.068025974777041	-0.4400583645229217	0.06557509319450956	2.4197557694623875	4.1370883082938633e-8
cgd2_1210	6.328867624780459	6.29973543416114	6.211137311078856	2.835399704003569	2.726437415878991	2.6172724730819654	2.6581811798375266	2.695693352979674	2.946903061737698	0.01808529092857203	0.9726933481206668	-3.5506321520801443	2.5220011839948232e-8
cgd2_1220	8.336301652572102	8.175893034247787	8.341900018299755	3.474312929781319	3.6783417180095457	3.3610428354763	5.7582256990276255	5.428390879596558	5.71260946899951	2.102713429927048	3.266070941791785e-5	-4.754144455752314	1.0463165797832644e-9
cgd2_1230	6.011576040632881	5.699134210215666	6.143176484175049	3.2610631396670255	2.750214624974579	3.523784500961135	6.831678995860727	6.842260044083232	6.9065249270988325	3.7498959543631574	1.9755182031242483e-6	-2.8685404308507256	3.18203918542725e-6
cgd2_1250	4.4763947680421285	4.052535377012967	4.1864127967785425	8.122789420698219	7.936021581483037	8.119939253522961	7.692679663220496	7.613604393434839	7.679411903324188	-0.386253918598384	0.006157639250356498	3.8049687744618623	3.268217825624274e-11
cgd2_1260	2.33871354709237	1.6101328325229347	2.459966398327257	5.742397196221449	5.706530519325592	5.436324095210684	4.952269891752134	4.75526082564088	4.6187177811611635	-0.8272111527913655	0.00915269907272106	3.4423793201372908	3.388758807862029e-8
cgd2_1270	1.6465345218902627	0.019810113482396977	1.1380857965768878	2.9241964829277944	3.2909726649227653	3.01633000791157	5.3384435338829235	4.801863738724461	5.258865670703258	2.0265982457685006	2.742785453648146e-4	2.119724663528765	5.533426317592034e-4
cgd2_1280	2.2852437224535445	2.8878447447059625	2.757331679904933	6.232966511472852	6.235881881266082	6.4069572664978915	7.055710749245384	7.0436487890275	6.89770369114255	0.7278615910694333	2.754413621488385e-4	3.6459235396854797	1.674878979634686e-9
cgd2_1290	2.6930455110350198	0.6024073690515638	2.6039149018551164	7.678877415215122	7.684157186408122	7.742925104673592	6.912651065734947	6.7812114066019795	6.879530122777977	-0.8399396699111286	0.0014692001274465656	5.595715507552363	1.3094064631999363e-8
cgd2_130	9.993371462576087	9.48054067597154	9.656428624876886	7.9105710498309	7.978447684055909	8.198622243136603	7.201179846686629	7.480510798577266	7.332694324464663	-0.6980556362051882	0.02036337154522526	-1.6879830886992586	2.9083955031514823e-7
cgd2_1300	6.0041380010655905	5.904435598095241	5.663336160731699	4.466644128450028	4.534748473089515	4.699225888076957	10.838136796169115	10.719790087097739	10.836348567130134	6.235062425998459	2.6536807013264086e-10	-1.2817857890036857	2.7463175314208044e-5
cgd2_1310	9.73889886948486	9.267906878942542	9.908486277347432	6.306911161827322	6.425877749079858	6.19682703997341	7.2705145563512374	7.367880084977165	7.166597493608582	0.953057501796307	0.022376679938981618	-3.3309683791352285	5.582088727407666e-8
cgd2_1330	10.862055044947086	10.83548085416258	10.814518975264175	5.874728733238604	5.656455920729403	5.563361615030732	7.209767268107592	7.057484028602301	7.0556406765424455	1.4300003161284156	1.4137374882687826e-6	-5.145884265236829	3.395526012363134e-13
cgd2_1340	8.690933304304892	8.621708743833567	8.689411027922247	7.286746896756486	7.2164357938098895	7.157613267332201	6.913906169310486	6.939881657692465	6.720581706155664	-0.3433758277014105	0.012365813767854205	-1.4497592664811725	7.975790710511018e-10
cgd2_1360	12.86539503803865	12.841648427122903	12.706946871442815	7.565553630599749	7.781077942642459	7.781141756604084	7.104162087993245	7.082350092880871	7.139457100875835	-0.6113715209188948	0.0035981727389757076	-5.087720033598808	1.7019946261012694e-13
cgd2_1370	10.447847029092168	10.38130326815119	10.393968649821453	8.003182441878693	7.837591754164028	7.874979862384767	7.177496665200309	7.090983369217445	6.970638624537424	-0.8010627051494446	3.273554675234791e-5	-2.50901115495435	2.733899332751376e-12
cgd2_1380	-4.839971981495423	-4.577729170010639	-5.166889739657474	1.0621485127050523	0.7747283765462554	-0.19319800081386115	6.010617066351139	6.304856411503889	6.454809152166206	5.644212061589945	2.4211241584185657e-6	5.4315702901405984	1.1510215417985992e-4
cgd2_1390	6.834897588866068	6.9968270582641	6.655467621783949	5.650605883789971	5.80029598117176	5.578399327831438	5.010145410108924	4.939098908550249	4.740412789308726	-0.7687752772591088	0.02280939968109971	-1.1230578539520994	5.9994390392517115e-6
cgd2_140	-4.839971981495423	-4.577729170010639	-5.166889739657474	6.245757014809826	5.365348887796876	6.362081065022809	5.984071581889763	6.208608699799607	6.263490720716953	0.21816810938079279	0.513766891645361	10.768540131987981	2.101379212054554e-5
cgd2_1410	10.523529243651817	10.857164833465	10.503869321520861	6.923154180904151	6.47173356485395	6.60219289766267	7.026073886545463	6.825967806322507	6.933080937168478	0.2967304570932141	0.321635660745703	-3.97911426052832	3.6874719621548334e-10
cgd2_1420	9.59644455191108	9.44560579336952	9.5436807724314	5.324951619955044	5.612080742508343	5.301425153004691	5.490041681226465	5.346619459125834	5.642492013082949	0.03453589736769658	0.8902104703120673	-4.088000028655766	1.7806726531943862e-11
cgd2_1430	3.4123966917215807	1.8548197983685948	3.1579252383092684	6.6276906743188695	6.766574683948393	6.454041762661597	5.453384444258245	5.656599489988858	5.468276067031129	-1.1102748728605913	0.003957995861513182	3.7430968715917032	7.649869391976063e-8
cgd2_1440	-1.381843188399602	-4.577729170010639	0.30119829272472326	6.70451101387837	7.0518034601567425	6.584014511820435	6.246274094021779	6.110407438143884	6.443363587459315	-0.5664474359302485	0.03814210105927165	8.490297377204119	6.7863144231479e-6
cgd2_1450	0.4676481440580569	-4.577729170010639	1.0835862169776351	6.951277536968412	7.023406058545721	6.839072556921209	5.743340099471829	5.955292601057147	5.852744812862347	-1.1083929833369695	0.0028440806884363744	7.694785405081707	5.359926318873031e-6
cgd2_1460	5.195030989296735	4.905747142942921	5.004642200667039	7.0514285231663765	7.180303884340571	7.061314407995149	6.393754038096141	6.337955959004018	6.025048913947631	-0.8202048930834014	3.150547303839776e-4	2.0688770675110435	1.930209821474708e-9
cgd2_1500	9.292302246632897	8.85270827777847	9.466734198987764	7.598199844146679	7.68806716981302	7.48738142417153	6.671112457876641	6.583089412941474	6.552915285228318	-0.9871442607858771	0.012885035202690565	-1.619436318047648	1.690600776925572e-6
cgd2_1510	8.393666679589543	8.388987417849124	8.467260974759249	5.494541372311644	5.34435449102696	5.262783781388344	5.202366637068971	5.425973122313293	5.070662383317034	-0.1161602584223953	0.5897954435664083	-3.056129544364092	5.440885121350339e-11
cgd2_1520	11.96112316608777	11.810861847298023	11.906592751852719	6.951434697077385	6.953967258564986	6.877181169644318	6.982165463895535	6.845449149349611	6.76176836636429	-0.04748540290175818	0.779958137709527	-4.96482297311253	1.9734237692460402e-13
cgd2_1530	7.949277886233924	7.899346300937804	8.091686782415108	5.12722793348031	5.257792821271258	5.0012703202391195	4.827284897192668	4.514741859090716	4.642949857530667	-0.46612649309593746	0.12324938820240335	-2.837619579146873	9.226560054136975e-10
cgd2_1540	7.617318578123693	7.4602576085086785	7.590453325026778	3.441048023511994	3.4359892057355315	2.9639877359357194	4.4176487922900085	4.304597469015359	3.7578962547613406	0.9219376382955322	0.03238124695373297	-4.2539082080260044	4.345283093971199e-9
cgd2_1550	8.44027125811502	8.182937222400156	8.528879285673904	5.546556097175895	5.649807628355055	5.216425558688575	5.324991607784871	5.017303271013472	5.503671635319286	-0.23274580469691752	0.5175762155696784	-2.896756365858196	1.0241440324418506e-8
cgd2_1560	7.779232511844007	7.528855504493348	7.6817822459306	4.981155889586424	5.061200881816785	5.060477521805191	4.751034211532082	4.698288920505106	4.784495670308241	-0.29771370870055947	0.31390840190851493	-2.6287208732369463	2.719189263847043e-9
cgd2_1590	5.739422964870548	5.740813461575588	5.630255300515877	2.675756390325515	2.148201605849151	2.3810102506397657	7.886162062555417	7.68854720875898	7.748803333435235	5.423707976668377	3.198441420013232e-8	-3.33577867827545	3.234122012467296e-7
cgd2_160	11.186039889838028	11.087498273637186	11.188440304313106	4.927608841546626	5.070772530144358	4.94858467492745	5.646966405863294	5.6014005743472115	5.495587150570372	0.600595978796381	0.014116472905676775	-6.160641926700509	6.017678786860619e-13
cgd2_1600	3.930163785515472	3.05672145784708	3.1953934962115693	8.454489923915213	8.325878066913138	8.49894953695731	8.073782888400755	7.999137145085378	7.931978467920952	-0.4058285772985091	0.008370550696803222	5.022207026804475	9.625272205769167e-11
cgd2_1610	3.002521280630951	-2.233292553539168	0.3523359497318389	3.9675222452661387	3.974941902728737	4.126906541604691	7.391066983061821	7.466355871873811	7.369852054549886	3.3953357782093034	9.703738809531394e-6	3.525336479253879	9.083419276381306e-4
cgd2_1620	4.024596610987129	4.114588535875666	3.5253356849357202	5.068829895711265	5.097763805341166	5.001759779490146	6.575416182977787	6.447954711985102	6.680736121849942	1.495865172312267	2.374561359931729e-5	1.2138540208360267	4.238383792878016e-5
cgd2_1630	1.6150471254005325	0.6549560093955807	2.401219349957276	4.770543580403726	4.859015195821879	4.612331242987195	4.29053123857295	3.8614404138893033	4.260254839566742	-0.6217243866044777	0.14160655368679567	3.080469214548687	3.301983481618209e-6
cgd2_1640	0.7192445714518841	1.3220940879006182	0.966215815575571	7.561923779737427	7.433137869082328	7.470474802799425	6.82497483966767	6.526004501097987	6.591139764250182	-0.8132423880825694	6.93298087925275e-5	6.498541402752862	6.683444522934399e-10
cgd2_1650	5.748479586902132	5.044282383964827	5.709023790887565	6.679176497176414	6.692089868939996	6.551675717304034	6.648764645660351	6.324153565962577	6.468017843122223	-0.14966476848514532	0.5845671378544385	1.1131596767666183	5.2672463845648055e-5
cgd2_1680	8.047657678380656	7.910443781888839	8.044765649648395	5.737031430814782	5.669968773889442	5.7099895542912575	5.125054044046161	4.683641269089674	5.145393003175592	-0.7175007215765783	0.008836814713266316	-2.304215739758165	7.027457546300914e-10
cgd2_1690	5.21962385661744	4.863140351450132	5.215935002484571	6.788070959112003	6.32242055500041	6.747035924987311	5.692269964030873	5.728441407475147	5.446615871334473	-0.9334386092045657	0.0040416250041576725	1.4631395099784301	1.3250874275282551e-6
cgd2_170	10.482640576708032	10.316720469680707	10.355396649968133	8.311467246076258	8.262528402400296	8.13568099966458	7.197653228998032	7.251841784071094	7.269175499717217	-1.0046239501637437	1.6531706757576652e-5	-2.1473993856133227	3.40140956272436e-11
cgd2_1700	1.4662589043923113	-4.577729170010639	-1.412630850375716	4.002150360416351	3.4641384483993765	3.850126905219313	4.749117584923747	4.616562608860594	4.595072412575905	0.9524691747409846	0.07130608328828607	5.106924758205502	2.587721215233904e-4
cgd2_1710	3.576387405996657	2.4147780401407175	3.4270989717081517	6.192649841657997	6.05011840075729	6.260505374048085	6.511963680845032	6.369048700722981	6.59240836657948	0.3309505682182987	0.15736402294831375	2.9500214412790142	1.1125692671166977e-7
cgd2_1730	0.2626025396072758	-0.21231278283167526	-2.022138727521165	4.61934616423735	4.93994232683838	4.734803099518491	4.675669301590334	4.5801998940293345	4.6909810709525015	-0.14538290643116714	0.6498646315476416	5.551679963112723	8.497748240600592e-7
cgd2_1740	9.059613480905163	9.100894906015329	9.039090141182688	8.057397826853645	7.785393418372022	7.853459964422484	7.5534919863057155	7.561902456158593	7.439037771795451	-0.3604829137273535	0.008954337955893803	-1.1768291720270492	8.192511047365952e-9
cgd2_1750	8.00846668708354	7.566323324213923	8.157483009580254	5.27438298274918	5.27082454859834	5.068235486155393	5.194773480601712	5.313674941188213	5.416682370055401	0.07148507686536476	0.888834667788706	-2.7136626938294244	5.426894874135017e-7
cgd2_1760	8.260252074938641	8.194797693966681	8.319234796070356	5.594441771778033	5.954013067906598	5.473124711307758	5.599696457809561	5.56261869995286	5.491807298330723	-0.15178703284800754	0.5190776154862405	-2.5473393809589027	9.268063142028267e-10
cgd2_1770	4.429601769095412	4.282891328260053	4.572189805035235	7.852889386066345	7.816287372408805	7.664924185743516	6.704957419984542	6.5797530087966445	6.591031254917188	-1.1451017376702612	5.897086427956928e-6	3.3356778244306273	3.141310949238808e-11
cgd2_1780	3.771223277138196	3.5371545778528737	3.3070457475908484	9.452651930046683	9.4911340467901	9.383603697136975	8.110470930854227	8.031824764874036	8.210389894779594	-1.3360707488942172	8.923179120828367e-8	5.925032721448112	1.5743593225300205e-12
cgd2_1790	7.161708760366136	6.703397026072949	7.5271155948231145	4.231562607275529	4.129449241888814	4.491958350787271	5.0279025990158495	5.2433073856311925	5.2120217802251885	0.8819391028127077	0.18811677403670385	-2.898165639572956	1.781729697190558e-5
cgd2_180	7.944741681440977	7.7948095765549885	7.809980440140963	5.256081039394961	5.253022296860718	5.157161263618706	5.037920334464984	4.745547833892821	5.075174963183811	-0.2772833240695549	0.2623638225954982	-2.6235530141747994	6.04181343685199e-10
cgd2_1800	8.717268135049158	8.823753600329608	8.712240107476903	6.70547953059468	6.680947723222944	6.5693624722847614	5.244058665147704	5.402827051929211	5.48256840970402	-1.3033780524104817	2.9934169981909633e-5	-2.0930742212014293	1.1516826431969111e-10
cgd2_1820	11.01416557975585	11.134276099460958	10.91274144321285	6.1251514949849835	5.96748913721424	5.853045155304718	5.604941421861253	5.611057608238465	5.668674880739624	-0.3569941341355989	0.19814307240047913	-5.03532228163801	4.517897459034186e-12
cgd2_1830	7.367503748763931	7.5923936860249395	7.430402378952664	4.088764730848654	4.032772145276374	3.7390925481180974	4.267906784004288	3.7307840547488498	3.640379040108742	-0.022761046407332675	0.9611100025372438	-3.493273260347469	6.08405660372456e-9
cgd2_1840	12.990370782484254	12.946836779903668	12.949073304410971	6.942638925664782	7.125083288595781	6.999232932350273	7.13168932821281	7.174894491289976	7.13835676215291	0.11264188140415587	0.34092286773573804	-5.926868510079181	1.0152455977080797e-14
cgd2_1850	7.734662956806565	7.609030596457855	7.732423127328934	7.710425589783128	7.904873050928981	7.535994499471548	6.526888847722878	6.681628750591666	6.425383269933166	-1.1801675186539393	3.8809938659853296e-5	0.03874445467020937	0.6754897752133765
cgd2_1860	7.833903234281699	7.41640723877738	7.873592515485083	6.79445445481208	6.623297017926013	6.760791173620992	6.610112138779376	6.5368542162987175	6.693458699839896	-0.1072336434808383	0.6869045775698872	-1.0084080774519295	2.844639573913999e-5
cgd2_1870	11.243894349575207	11.124601735855173	11.16986247813291	9.379164291916505	9.771581721500244	9.528580967556378	8.550894609781754	8.71684858260077	8.551813575819649	-0.9663007976914066	2.7124213410684567e-5	-1.6068046047018072	1.9804172594010235e-9
cgd2_1880	6.131148331678853	5.651098426554599	5.8722945163755345	4.108694602811478	3.8067947122452015	4.106061469670886	5.6900426586824855	5.669866250348903	5.75250833016095	1.7249005176706604	2.754413621488385e-4	-1.921087213585014	7.099623308600263e-6
cgd2_1890	7.072738242651652	6.900701574615037	6.776767075143396	4.117862696727915	3.9243598077463435	3.9415001297769128	7.269476418554166	7.057456161923576	7.142144442092498	3.185142775914642	3.1389805651395944e-7	-2.9301113221896555	5.43223871228301e-8
cgd2_1910	1.771601352309989	3.4611584401331696	2.871905717311693	8.689272438991194	8.499076623742802	8.53442586287271	10.353283795833036	10.286403914413215	10.309757752270002	1.7501826934524178	7.775991774436566e-8	5.894794631179012	9.766070195174821e-10
cgd2_1920	1.7325167090694502	0.7262455316100038	1.4682283455091674	5.58281159829665	5.681663775607326	5.721573993711307	5.739551473661598	6.012215329535616	5.643816487814515	0.1427998639111614	0.4653596917225218	4.31200711661038	2.1138034668069144e-8
cgd2_1930	1.70554264989983	2.5746537345391878	1.1992704942709271	5.1592596816783045	5.356528458973247	5.3680531272257825	4.975172576546291	4.933627126963381	4.658244749105689	-0.41538263540044973	0.17316370486041527	3.579699442003805	1.4098352325707538e-7
cgd2_1940	-0.027710016584993235	0.7162386655893015	2.0066545934313456	6.117707663389646	6.339988793284579	5.9271315321675	5.463230544507162	5.294061954941401	5.561022458270942	-0.7258968597436164	0.020569572992236895	5.161431643001151	2.537982764602673e-7
cgd2_1950	6.454723892253239	6.3194023668169885	6.540961664472076	5.574994485256632	5.668491053170098	5.409157470204697	6.70949232584632	6.530501165283813	6.610429071367351	1.0583379840260614	7.501281454299773e-5	-0.8791497721832782	1.5205557849046388e-5
